Materia,Materia matriz,📘 Institutos,Instituto,📘 Materias,Objetivo de la materia,Contenidos mínimos,Bibliografía obligatoria,Bibliografía complementaria,Carga horaria (from 📘 Materias),Programa,Carreras,Currícula,Tipología,📖 Producción,Estado de producción,Avance de producción,Código Materia,ID Materia,Copia de 📖 Producción,Bimestre,Año (from Currícula),👨‍🎓 Búsquedas
PSICOLOGÍA SOCIAL,PSICOLOGÍA SOCIAL,IPP,IPP,Psicología Social,"Al finalizar la asignatura, el estudiante identificará los cambios sociales desde el punto de vista psicológico, sociológico y pedagógico con la finalidad de abordar el estudio de diversos procesos que se dan en la interacción en la vida diaria. ",,,,,,"PEDAGOGÍA,TÉCNICO EN SERVICIO SOCIAL,GESTIÓN HOTELERA","CSEQ020 - 2do Año - 3B,CSEQ020 - 1er Año - 1B,CSEQ020 - 1er Año - 1B","General,Específica,Específica",,,,CSEQ020,6554,,"3B,1B,1B","2do Año,1er Año,1er Año",
PSICOLOGÍA Y CONDUCTA DEL CONSUMIDOR,PSICOLOGÍA Y CONDUCTA DEL CONSUMIDOR,IPP,IPP,Psicología y Conducta del Consumidor,"- Identificar y explicar las nuevas tendencias de consumo y su aplicación en una empresa que busca la diferenciación en el mercado.
- Identificar, analizar y comparar los factores externos que se utilizan como ejes determinantes en el marketing de un producto.
- Elaborar perfiles del consumidor para una categoría de producto, según tendencias y requerimientos.
- Aplicar y describir el modelo de decisión de compra del consumidor para una categoría de producto determinado, en el ámbito del marketing.
","Qué es el comportamiento del consumidor. Historia, cambios y desafíos en el comportamiento del consumidor. Investigación de mercado y segmentación. Neuromarketing y consumo. Nuevas tendencias de consumo. El factor cultural. Grupos sociales y clasificación socioeconómica. La familia en Chile. Subculturas: Inmigrantes en Chile. Personalidad. Percepción. Aprendizaje y memoria. Procesamiento de la información. Actitudes. Nivel de implicación del consumidor. Proceso de decisión de compra y sus etapas. Tipos de decisiones de compra. Tipología de compradores. Relación entre ética, sociedad, marketing y el rol de empresas hoy. ",,,,,"TÉCNICO EN PUBLICIDAD,CLOUD ADMINISTRATION,ANALISTA DE SISTEMAS","NGEQ085 - 2do Año - 1B,NGEQ085 - 2do Año - 1B,NGEQ085 - 1er Año - 1B,NGEQ085 - 1er Año - 1B","Fundamento,Fundamento,Fundamento,Fundamento",,,,NGEQ085,6202,,"1B,1B,1B,1B","2do Año,2do Año,1er Año,1er Año",
PSICOMOTRICIDAD JUEGOS Y RECREACIÓN,PSICOMOTRICIDAD JUEGOS Y RECREACIÓN,IPP,IPP,Psicomotrocidad Juegos y Recreación,"Como Resultado General de Aprendizaje (RGA) del curso, se espera que al finalizar el estudiante: integre conocimientos teóricos para apoyar las propuestas educativas, a través de actividades que promuevan el desarrollo psicomotor en la primera infancia considerando sus fases evolutivas y áreas de la psicomotricidad.  ",Orígenes de la psicomotricidad. Conceptos de la psicomotricidad. Tipos de psicomotricidad. Psicomotricidad primera infancia. Ventajas y beneficios de la psicomotricidad. Etapas evolutivas del desarrollo psicomotor. Características del desarrollo psicomotor. Niveles de expresión motriz. Conceptos de la actividad lúdica. La importancia del juego en la primera infancia. Tipos de juegos por etapa infantil. El juego como herramientas de aprendizaje. Concepto desarrollo psicomotor. Actividades por tapas evolutivas del desarrollo psicomotor. Actividades de recreación por etapas evolutivas. Actividades lúdicas por tapas evolutivas. Diferencia entre actividad lúdica y recreación  ,"De-Juanas Oliva, Á., Anguita Acero, J. M., & Galán-Casado, D. (2023). Psicomotricidad en educación infantil: fundamentos y propuestas para profesionales de la educación. Narcea Ediciones. 
 
Córdoba Navas, D. (2018). Desarrollo cognitivo, sensorial, motor y psicomotor en la infancia (2ª ed.). IC Editorial. 
","Soto, T. J., & Campaña, T. J. L. (2009). Juegos en la educación física.  
  
Castro, A. D. (2011). Juegos para educación física: desarrollo de destrezas básicas.  pp 37 – 62  
  
Lení, N. V., & Wey, M. W. (2015). Movimiento y expresión corporal: en educación infantil.  pp 100 – 123  

García Fernández, P. (2016). Fundamentos teóricos del juego (pp 15 – 26). Wanceulen Editorial.  https://elibro.net/es/lc/ipp/titulos/33693   

Sánchez Rodríguez, J. y Llorca Llinares, M. (2008). Recursos y estrategias en psicomotricidad.  Ediciones Aljibe. pp. 19-25.  
https://elibro.net/es/ereader/ipp/60501?page=19  

Mendiara, R. J., & Gil, M. P. (2016). Psicomotricidad educativa.  pp 27 – 35  
  
Cabezuelo, G., & Frontera, P. (2012). El desarrollo psicomotor: desde la infancia hasta la adolescencia.   pp 15-34  
  
Paredes, O. J. (2003). Juego, luego soy: teoría de la actividad lúdica. pp 17 – 73  

Gil, M. P. (2003). Desarrollo psicomotor en educación infantil (de 0 a 6 años).  pp 19 – 23  
",,,"TÉCNICO EN EDUCACIÓN PARVULARIA Y PRIMER CICLO BÁSICO,TÉCNICO EN EDUCACIÓN DIFERENCIAL,TÉCNICO EN EDUCACIÓN DIFERENCIAL","CSEQ021 - 1er Año - 2B,CSEQ021 - 1er Año - 2B","Específica,Específica",,,,CSEQ021,6118,,"2B,2B","1er Año,1er Año",
PSICOPEDAGOGÍA EN ADULTO Y ADULTO MAYOR,PSICOPEDAGOGÍA EN ADULTO Y ADULTO MAYOR,IPP,IPP,Psicopedagogía en Adulto y Adulto Mayor,,,,,,,,PSAYAM01 - 4to Año - 1B,Específica,,,,PSAYAM01,7202,,1B,4to Año,
PSICOPEDAGOGÍA Y NEUROCIENCIAS,PSICOPEDAGOGÍA Y NEUROCIENCIAS,IPP,IPP,Psicopedagogía y Neurociencias,,,,,,,,PSYNE01 - 3er Año - 2A,Específica,,,,PSYNE01,7199,,2A,3er Año,
PUBLICIDAD DIGITAL,PUBLICIDAD DIGITAL,IPP,IPP,Publicidad Digital,,,,,,,TÉCNICO EN PUBLICIDAD,"NGEQ086 - 1er Año - 2B,NGEQ086 - 1er Año - 2B","Específica,Específica",,,,NGEQ086,6198,,"2B,2B","1er Año,1er Año",
PUBLICIDAD EN REDES SOCIALES,PUBLICIDAD EN REDES SOCIALES,IPP,IPP,,,,,,,,,0250P53A - 3er Año - 1B,Específica,,,,0250P53A,6209,,1B,3er Año,
RECLUTAMIENTO Y SELECCIÓN DE PERSONAS,,IPP,IPP,,,,,,,,,,,,,,,,,,,
RECURSOS TECNOLÓGICOS I,RECURSOS TECNOLÓGICOS I,IPP,IPP,Recursos Tecnológicos I,,,,,,,"TÉCNICO EN EDUCACIÓN DIFERENCIAL,TÉCNICO EN CONTROL DE LA PRODUCCIÓN INDUSTRIAL,TÉCNICO EN CONTROL DE LA PRODUCCIÓN INDUSTRIAL,TÉCNICO JURÍDICO EN GESTIÓN JUDICIAL ","TRA014 - 1er Año - 1B,TRA014 - 1er Año - ,TRA014 - 1er Año - ,TRA014 - 1er Año - 2A","General,General",,,,TRA014,6113,,"1B,2A","1er Año,1er Año,1er Año,1er Año",
RECURSOS TURÍSTICOS,RECURSOS TURÍSTICOS,IPP,IPP,Recursos Turísticos,,,,,,,TÉCNICO EN GESTIÓN TURÍSTICA,0361P21 - 1er Año - 2A,Específica,,,,0361P21,6416,,2A,1er Año,
REDES SOCIALES,REDES SOCIALES,IPP,IPP,,,,,,,,,,,,,,0640P46,6612,,,,
REDES Y COMUNICACIONES,REDES Y COMUNICACIONES,IPP,IPP,,,,,,,,,"TCEQ040 - 2do Año - 1B,TCEQ040 - 2do Año - 1B","Específica,Específica",,,,TCEQ040,6496,,"1B,1B","2do Año,2do Año",
REGULACIÓN Y MEDIOS DE PAGO,,IPP,IPP,,,,,,,,,,,,,,,,,,,
RELACIONES PÚBLICAS,RELACIONES PÚBLICAS,IPP,IPP,Relaciones Públicas,,,,,,,TÉCNICO EN GESTIÓN TURÍSTICA,0361P22 - 1er Año - 2A,Fundamento,,,,0361P22,6417,,2A,1er Año,
RESOLUCIÓN DE CONFLICTOS Y NEGOCIACIÓN,RESOLUCIÓN DE CONFLICTOS Y NEGOCIACIÓN,IPP,IPP,Resolución de Conflictos y Negociación,"El Resultado General de Aprendizaje será que el estudiante identifique, reconozca y aplique las técnicas básicas de resolución de conflictos, con conocimientos técnicos de negociación, mediación y conducción de conflictos.","Conceptos de mediación, conflicto y disputa. El litigio, la convivencia pacífica y el consenso. Percepción, creencias y explicación. Evolución histórica y enfoque del conflicto. Teoría del Observador. Humberto Maturana. Teorías de la Comunicación Humana. Watzlawick. Fernando Flores. La negociación. Concepto. Tipos. Etapas. La conciliación. La mediación. La negoaciación en el método de resolución ampliada de disputas (RAD) Tipos de negociación. La negociación competitiva, distributiva y colaborativa. Conocimientos y habilidades necesarias para negociaciones efectivas. Elementos de negociación. Los 7 elementos de la negociación según Harvard. La negociación como ventaja competitiva. Estudio y representación de casos. La resolución de conflictos y la negociación en el proceso chileno. En materia civil. La negociación, la mediación y en especial la conciliación. La mediación en materia de familia. La negociación y la conciliación en materia laboral. En materia penal. La negociación en el proceso penal chileno. La conciliación. Valor de la suspensión condicional del procedimiento del acuerdo reparatorio y del procedimiento abreviado.	","Prado Higuera, C. del, Sánchez de Rojas Díaz, E. (2021). Negociación y mediación para la resolución de conflictos: una aproximación con estudios de caso. Dykinson. 
 
Cisneros, J. L., Méndez Cárdenas, S (2020). Abordajes metodológicos para el análisis del conflicto. Ediciones y Gráficos Eón. 
 
Ley 19.968, que crea los Tribunales de Familia. Art. 103 a 114, Biblioteca del Congreso Nacional. http://www.leychile.cl/Navegar?idNorma=229557 ","Costa, García, Mercedes. (2004). Negociar para CON-vencer: método, creatividad y persuasión en los negocios, Editorial: McGraw-Hill España. Como realizar un cierre de forma eficiente. Pág. 201 a 208. 

Fernández, R. M. (2003). Génesis y dinámica del conflicto laboral: aportaciones a un modelo multidimensional y sistémico (i). Pág 4 a 11 
Souto G. E. Mediación familiar, (2012) Editorial: Dykinson. Conceptos básicos de referencia. 

Yuquilema, Gavilanes, Juan Ignacio, and Mayorga, Giovani Criollo (2016). Teoría y práctica de mediación y conciliación, Editorial: Corporación de Estudios y Publicaciones. Capítulo I - Pág. 4 a 19. 
 
Bartak, Pedro Jorge. (2009) La negociación efectiva, Editorial El Cid Editor l Apuntes. Pág. 6 a 23. 
 
Puchol, Luis, et al. (2005) El libro de la negociación, Editorial: Ediciones Díaz de Santos. La comunicación no verbal - Pág. 100 a 112.
 
Guedán, M. M., & Ramírez, R. D. (2005). Resolución de conflictos en el S. XXI. Madrid, ES: Trama Editorial. Retrieved from http://www.ebrary.com Capítulo I: Conflicto. Capítulo III. Resolución de Conflictos, Página 35 a 42 
 
Gonzalo Q. Marta, (2015) Métodos alternativos de solución de conflictos: perspectiva multidisciplinar. Editorial: Dykinson. Características de los métodos alternativos de resolución de conflictos - Pág. 28 a 29; La Mediación como estrategia para la resolución de conflictos – Pág. 113 a 128. 

Ponti, Franc. (2011) Los caminos de la negociación: personas, estrategias y técnicas, Editorial: Ediciones Granica. Pág. 19 a 36. 
 
Herramientas para el cambio desde la gestión del conflicto: anuario del Centro de Mediación, Negociación y Arbitraje de la Universidad Central de Chile Nº 1, 2014. (2014). Santiago, CHILE: RIL editores. Retrieved from http://www.ebrary.com Capítulo: Conclusiones de la investigación. Mediación penal como mecanismo de justicia restaurativa en Chile. Página 103 a 136 
 
Rodríguez, E. M. (1988). Manejo de conflictos. nro. 5 (2a. ed.). 
 
Watzlawick, P., Beavin, B. J., & Jackson, D. D. (1981). Teoría de la comunicación humana: interacciones, patologías y paradojas. Barcelona, ES: Herder Editorial. Retrieved from http://www.ebrary.com Capítulo 2: Algunos axiomas exploratorios de la comunicación. 
",,,"TÉCNICO JURÍDICO EN GESTIÓN JUDICIAL ,TÉCNICO JURÍDICO EN GESTIÓN JUDICIAL ",0630P31 - 2do Año - 1A,Específica,,,,0630P31,6596,,1A,2do Año,
RESOLUCIÓN DE PROBLEMAS,RESOLUCIÓN DE PROBLEMAS,IPP,IPP,Resolución de Problemas,"Brindar técnicas para realizar un correcto análisis del problema.
Dar a conocer los beneficios de las principales técnicas de análisis a los fines de poder utilizarlas según sea conveniente.
Generar conciencia de la importancia  del trabajo en equipo para una oportuna resolución de problemas.",,,,,,"CLOUD ADMINISTRATION,TÉCNICO EN CLOUD ADMINISTRATION,CLOUD ADMINISTRATION","GENR2 - 2do Año - 1A,GENR2 - 2do Año - 2A","General,General",,,,GENR2,7257,,"1A,2A","2do Año,2do Año",
RESPONSABILIDAD SOCIAL DE LAS ORGANIZACIONES PÚBLICAS,RESPONSABILIDAD SOCIAL DE LAS ORGANIZACIONES PÚBLICAS,IPP,IPP,,,,,,,,,0370P74A - 4to Año - 1B,Fundamento,,,,0370P74A,6458,,1B,4to Año,
RESPONSABILIDAD SOCIAL EMPRESARIAL,RESPONSABILIDAD SOCIAL EMPRESARIAL,IPP,IPP,,,,,,,,"CONTADOR AUDITOR (PLAN ESPECIAL),GESTIÓN HOTELERA,CLOUD ADMINISTRATION,ANALISTA DE SISTEMAS,CLOUD ADMINISTRATION","NGEQ087 - 2do Año - 2A,NGEQ087 - 2do Año - 1A,NGEQ087 - 2do Año - 2A,NGEQ087 - 4to Año - 1A","Fundamento,Fundamento,General,Fundamento",,,,NGEQ087,6300,,"2A,1A,2A,1A","2do Año,2do Año,2do Año,4to Año",
RIESGO Y VALORACIÓN DE ACTIVOS,RIESGO Y VALORACIÓN DE ACTIVOS,IPP,IPP,Riesgo y Valoración de Activos,"El Resultado general de Aprendizaje será que al término de la asignatura el estudiante pueda distinguir, explicar y aplicar tanto los principales conceptos como el CAPM.  ","Finanzas. Riesgos. Definición y tipos de riesgo de mercado. Mitigación de exposición al riesgo de mercado mediante instrumentos derivados. Método, sus fundamentos y limitaciones. Método y sus fundamentos.  ","Borbón Morales, C. G., Ozuna Beltrán, A. G., & García Cañedo, A. I. (2025). Guía para la implementación de un programa de gestión de riesgos empresariales. Academia Mexicana de Investigación y Docencia en Innovación (AMIDI). 
Fornt, X. (2020). El riesgo país y las garantías internacionales. Marge Books. 
Juárez Acosta, F., & Useche, A. J. (2023). Administración financiera: modelos, enfoques, tendencias. Universidad del Rosario. 
Chu Rubio, M. (2023). Finanzas aplicadas: teoría y práctica (5.ª ed.). Universidad Peruana de Ciencias Aplicadas (UPC).
","Aranda, M. M., & Baca Urbina, G. (2016). Ingeniería financiera. Grupo Editorial Patria.  

Grandes Carci, M. J. (2016). Dirección y contabilidad financiera. EUNSA. 
",,,"CONTADOR AUDITOR,GESTIÓN HOTELERA,CONTADOR AUDITOR (PLAN ESPECIAL),GESTIÓN HOTELERA,ANALISTA DE SISTEMAS,AGILE COACHING","NGEQ088 - 3er Año - 2B,NGEQ088 - 3er Año - 2B,NGEQ088 - 1er Año - 2B,NGEQ088 - 1er Año - 2B,NGEQ088 - 3er Año - 2B","Específica,Fundamento,Fundamento,Fundamento",,,,NGEQ088,6289,,"2B,2B,2B,2B,2B","3er Año,3er Año,1er Año,1er Año,3er Año",
RIGGING,RIGGING,IPP,IPP,Rigging,El Resultado General de Aprendizaje será que generar los recursos necesarios para animar un personaje 3D aplicado a la animación digital.,Como preparar tus modelos para rigging. Crear y manipular huesos. Aplicación de skin y deformación. Creación de controles de animación. Conectar controles de animación a huesos utilizando constrains. Creación de inverse kinematics. Sistema de balanceo para pies. Sistema expresión facial. Creación de un bípedo usando Human IK en Maya. Rigging personaje usando Quick rig. Test ciclo de caminata para asignar peso. Aplicación de captura de movimiento rigging. Aplicar captura de movimiento descargada desde internet. Captura de movimiento de editor de tiempo. Finalización de pintura de peso de la piel en el personaje. Consejos para ahorrar tiempo en el flujo de trabajo. ,https://elibro.net/es/lc/ipp/titulos/248830?fs_q=personajes__3D&prev=fs  ,"https://www.autodesk.com/latam/solutions/motion-capture 
 
https://help.autodesk.com/view/MAYAUL/2025/ENU/?guid=GUID-6F8E555F-79C4-48D2-A6EE-53CC022E95C8 
 
https://help.autodesk.com/view/MAYAUL/2024/ENU/?guid=GUID-99189E9D-237F-471E-A02C-BE6593B4828B 
 
https://www.adobe.com/ar/products/substance3d/discover/inverse-kinematics.html 
 
https://www.youtube.com/watch?v=4fuMH-XW7Nk 
 
https://animost.com/tutorials/how-to-animate-3d-facial-expressions/ ",,,"TÉCNICO EN ANIMACIÓN DIGITAL,TÉCNICO EN ANIMACIÓN DIGITAL,GESTIÓN HOTELERA",0271P44A - 2do Año - 2B,Específica,,,,0271P44A,6242,,2B,2do Año,
Rotulación Nutricional y Legislación Alimentaria,,IPP,IPP,,,,,,,,,,,,,,,,,,,
SALA CUNA Y ATENCIÓN TEMPRANA,SALA CUNA Y ATENCIÓN TEMPRANA,IPP,IPP,,,,,,,,TÉCNICO EN EDUCACIÓN PARVULARIA Y PRIMER CICLO BÁSICO,0131P36A - 2do Año - 1B,Específica,,,,0131P36A,6141,,1B,2do Año,
SALUD Y ENTORNOS SALUDABLES,SALUD Y ENTORNOS SALUDABLES,IPP,IPP,Salud y Entornos Saludables,"El Resultado General de Aprendizaje es que el estudiante, aplique estrategias de promoción y prevención de salud, resuelva emergencias posibles de ocurrir en aula o espacios educativos como patio o salidas pedagógicas aplicando técnicas de primeros auxilios, considerando la importancia de su participación en la mejora o mantenimiento de la calidad de vida de los estudiantes de Párvulo, Primer Ciclo Básico y Educación Diferencial.","Salud. Enfermedad. Determinantes sociales de la salud. Salud y educación. Estilos de vida saludables. Anamnesis (IMC, rutina, minuta alimentaria, enfermedades, morbilidad en la familia). Primera infancia y salud. Riesgos para la salud en la primera infancia. Adolescencia y salud. Riesgos para la salud en la adolescencia. Adultez y salud. Riesgos para la salud en la adultez. Conceptos emergencia. Concepto emergencia. Concepto primeros auxilios. Criterios de actuación frente a una emergencia. Técnicas específicas para: Soporte vital RCP acorde a actualizaciones del MINSAL (RCP, maniobra de Heimlich). Concepto promoción de salud. Concepto prevención salud. Hábitos saludables. Creación de estrategias de autocuidado. Construcción de estrategias de promoción de salud grupal. Protocolo de prevención covid-19.	",Módulo de estudio elaborado por el experto del espacio curricular a ser producido por IPP.	,"Villar Álvarez, F. y Sarría Santamera, A. (2014). Promoción de la salud en la comunidad. UNED - Universidad Nacional de Educación a Distancia. Cap. II Pp. 27-35. https://elibro.net/es/ereader/ipp/48779?page=27

Villar Álvarez, F. y Sarría Santamera, A. (2014). Promoción de la salud en la comunidad. UNED - Universidad Nacional de Educación a Distancia. Cap. III y IV Pp. 51-55. https://elibro.net/es/ereader/ipp/48779?page=51

Villar Álvarez, F. y Sarría Santamera, A. (2014). Promoción de la salud en la comunidad. UNED - Universidad Nacional de Educación a Distancia. Cap. III y IV Pp. 60-74. https://elibro.net/es/ereader/ipp/48779?page=60

Timón Benítez, L. M. y Arráez Franco, A. (2010). La salud en la escuela: actividades educativas para el fomento de la salud. Wanceulen Editorial. pp. 22-26 https://elibro.net/es/ereader/ipp/63247?page=22
",,,"TÉCNICO EN EDUCACIÓN DIFERENCIAL,TÉCNICO EN EDUCACIÓN DIFERENCIAL,TÉCNICO EN EDUCACIÓN PARVULARIA Y PRIMER CICLO BÁSICO,ACOMPAÑANTE TERAPÉUTICO","CSEQ022 - 2do Año - 1B,CSEQ022 - 2do Año - 1B,CSEQ022 - 2do Año - 2B,CSEQ022 - 2do Año - 2A","Fundamento,Fundamento,General,Fundamento",,,,CSEQ022,6124,,"1B,1B,2B,2A","2do Año,2do Año,2do Año,2do Año",
